gene,MitoPathways,Symbol,GeneSymbol,Gene Symbol,Pathways
NDUFB5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFB5,NDUFB5,NDUFB5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
SDHAF2,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,SDHAF2,SDHAF2,SDHAF2,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
COQ10A,Metabolism > Metals and cofactors > Coenzyme Q metabolism,COQ10A,COQ10A,COQ10A,Metabolism > Metals and cofactors > Coenzyme Q metabolism
GATD3A,0,GATD3A,GATD3A,GATD3A,0
TXN2,Metabolism > Vitamin metabolism > Vitamin C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism,TXN2,TXN2,TXN2,Metabolism > Vitamin metabolism > Vitamin C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism
MRPS18A,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS18A,MRPS18A,MRPS18A,Mitochondrial central dogma > Translation > Mitochondrial ribosome
COX6C,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,COX6C,COX6C,COX6C,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
NDUFB9,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFB9,NDUFB9,NDUFB9,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MTCH2,Small molecule transport > SLC25A family | Mitochondrial dynamics and surveillance > Fusion,MTCH2,MTCH2,MTCH2,Small molecule transport > SLC25A family | Mitochondrial dynamics and surveillance > Fusion
NDUFA6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFA6,NDUFA6,NDUFA6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
SLC25A20,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle | Small molecule transport > SLC25A family,SLC25A20,SLC25A20,SLC25A20,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle | Small molecule transport > SLC25A family
MRPL1,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL1,MRPL1,MRPL1,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TIMM44,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor",TIMM44,TIMM44,TIMM44,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor"
COX17,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,COX17,COX17,COX17,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
MICOS10,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex,MICOS10,MICOS10,MICOS10,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
SOD2,Metabolism > Detoxification > ROS and glutathione metabolism,SOD2,SOD2,SOD2,Metabolism > Detoxification > ROS and glutathione metabolism
COX6B1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,COX6B1,COX6B1,COX6B1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
VDAC1,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Mitochondrial dynamics and surveillance > Organelle contact sites | Small molecule transport,VDAC1,VDAC1,VDAC1,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Mitochondrial dynamics and surveillance > Organelle contact sites | Small molecule transport
CLPP,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",CLPP,CLPP,CLPP,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
HADH,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism,HADH,HADH,HADH,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism
ACADL,Metabolism > Lipid metabolism > Fatty acid oxidation,ACADL,ACADL,ACADL,Metabolism > Lipid metabolism > Fatty acid oxidation
ACAT1,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism,ACAT1,ACAT1,ACAT1,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism
MALSU1,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,MALSU1,MALSU1,MALSU1,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
CLPX,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",CLPX,CLPX,CLPX,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
NDUFS4,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFS4,NDUFS4,NDUFS4,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MRPL4,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL4,MRPL4,MRPL4,Mitochondrial central dogma > Translation > Mitochondrial ribosome
C1QBP,Signaling > Immune response,C1QBP,C1QBP,C1QBP,Signaling > Immune response
PITRM1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",PITRM1,PITRM1,PITRM1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
UQCC1,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,UQCC1,UQCC1,UQCC1,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors
MRPL55,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL55,MRPL55,MRPL55,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRM1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications,MRM1,MRM1,MRM1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
MECR,Metabolism > Lipid metabolism > Type II fatty acid synthesis,MECR,MECR,MECR,Metabolism > Lipid metabolism > Type II fatty acid synthesis
MRPL44,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL44,MRPL44,MRPL44,Mitochondrial central dogma > Translation > Mitochondrial ribosome
HSDL2,0,HSDL2,HSDL2,HSDL2,0
MRPS14,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS14,MRPS14,MRPS14,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ABCB8,Small molecule transport > ABC transporters,ABCB8,ABCB8,ABCB8,Small molecule transport > ABC transporters
ATPAF2,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors,ATPAF2,ATPAF2,ATPAF2,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors
NDUFA9,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFA9,NDUFA9,NDUFA9,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
COA6,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,COA6,COA6,COA6,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
POLRMT,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription,POLRMT,POLRMT,POLRMT,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription
ISCU,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,ISCU,ISCU,ISCU,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
RTN4IP1,0,RTN4IP1,RTN4IP1,RTN4IP1,0
OGDHL,Metabolism > Carbohydrate metabolism > TCA cycle,OGDHL,OGDHL,OGDHL,Metabolism > Carbohydrate metabolism > TCA cycle
ATP5F1C,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,ATP5F1C,ATP5F1C,ATP5F1C,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
BCKDK,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,BCKDK,BCKDK,BCKDK,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
GFM2,Mitochondrial central dogma > Translation > Translation factors,GFM2,GFM2,GFM2,Mitochondrial central dogma > Translation > Translation factors
NDUFAF4,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,NDUFAF4,NDUFAF4,NDUFAF4,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
SLC25A35,Small molecule transport > SLC25A family,SLC25A35,SLC25A35,SLC25A35,Small molecule transport > SLC25A family
SLC25A11,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > SLC25A family,SLC25A11,SLC25A11,SLC25A11,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > SLC25A family
TIMM8B,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",TIMM8B,TIMM8B,TIMM8B,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
MCAT,Metabolism > Lipid metabolism > Type II fatty acid synthesis,MCAT,MCAT,MCAT,Metabolism > Lipid metabolism > Type II fatty acid synthesis
IBA57,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,IBA57,IBA57,IBA57,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
PHB2,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",PHB2,PHB2,PHB2,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
DAP3,Mitochondrial central dogma > Translation > Mitochondrial ribosome,DAP3,DAP3,DAP3,Mitochondrial central dogma > Translation > Mitochondrial ribosome
CMC2,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,CMC2,CMC2,CMC2,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
SDHAF1,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,SDHAF1,SDHAF1,SDHAF1,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
MRPS17,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS17,MRPS17,MRPS17,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ADHFE1,Metabolism > Amino acid metabolism > GABA metabolism,ADHFE1,ADHFE1,ADHFE1,Metabolism > Amino acid metabolism > GABA metabolism
NFS1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,NFS1,NFS1,NFS1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
NDUFAF5,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,NDUFAF5,NDUFAF5,NDUFAF5,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
MRPL17,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL17,MRPL17,MRPL17,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TACO1,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,TACO1,TACO1,TACO1,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
MFN1,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Organelle contact sites,MFN1,MFN1,MFN1,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Organelle contact sites
PPTC7,Signaling,PPTC7,PPTC7,PPTC7,Signaling
MRPL11,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL11,MRPL11,MRPL11,Mitochondrial central dogma > Translation > Mitochondrial ribosome
COX4I1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,COX4I1,COX4I1,COX4I1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
NDUFS6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFS6,NDUFS6,NDUFS6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MRPL13,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL13,MRPL13,MRPL13,Mitochondrial central dogma > Translation > Mitochondrial ribosome
OXCT1,Metabolism > Carbohydrate metabolism > Ketone metabolism,OXCT1,OXCT1,OXCT1,Metabolism > Carbohydrate metabolism > Ketone metabolism
COX5B,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,COX5B,COX5B,COX5B,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
PDK2,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,PDK2,PDK2,PDK2,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
ALAS1,Metabolism > Metals and cofactors > Heme synthesis and processing,ALAS1,ALAS1,ALAS1,Metabolism > Metals and cofactors > Heme synthesis and processing
MRPL33,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL33,MRPL33,MRPL33,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MTO1,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,MTO1,MTO1,MTO1,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
LIAS,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Metals and cofactors > Fe-S-containing proteins,LIAS,LIAS,LIAS,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Metals and cofactors > Fe-S-containing proteins
NDUFA5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFA5,NDUFA5,NDUFA5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
NDUFB6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFB6,NDUFB6,NDUFB6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MTX2,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions",MTX2,MTX2,MTX2,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"
SUCLG2,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,SUCLG2,SUCLG2,SUCLG2,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
FDX1,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism",FDX1,FDX1,FDX1,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism"
SLC25A1,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Lipid metabolism | Small molecule transport > SLC25A family,SLC25A1,SLC25A1,SLC25A1,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Lipid metabolism | Small molecule transport > SLC25A family
MRPS28,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS28,MRPS28,MRPS28,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TIMM50,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway",TIMM50,TIMM50,TIMM50,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"
VDAC2,Small molecule transport,VDAC2,VDAC2,VDAC2,Small molecule transport
SLC25A42,Metabolism > Metals and cofactors > Coenzyme A metabolism | Small molecule transport > SLC25A family,SLC25A42,SLC25A42,SLC25A42,Metabolism > Metals and cofactors > Coenzyme A metabolism | Small molecule transport > SLC25A family
TOMM7,"Protein import, sorting and homeostasis > Protein import and sorting > TOM | Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy",TOMM7,TOMM7,TOMM7,"Protein import, sorting and homeostasis > Protein import and sorting > TOM | Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy"
